timestep	rate
0	0
530000	0
530000	-0.00225
540000	-0.00225
540000	0
640000	0
640000	-0.00275
650000	-0.00275
650000	0
1430000	0
1430000	-0.00225
1440000	-0.00225
1440000	0
1970000	0
1970000	-0.0021
1980000	-0.0021
1980000	0
2420000	0
2420000	-0.0016
2430000	-0.0016
2430000	0
2640000	0
2640000	-0.0013
2650000	-0.0013
2650000	0
2730000	0
2730000	-0.00115
2740000	-0.00115
2740000	0
2790000	0
2790000	-0.0011
2800000	-0.0011
2800000	0
2820000	0
2820000	-0.0008
2830000	-0.0008
2830000	0
2917000	0
2917000	-0.00075
2925000	-0.00075
2925000	-0.000376712
2940000	-0.000376712
